rl	V(a)*I(Rl)
2.330000000000000e+02	2.101200e+01
2.340000000000000e+02	2.097601e+01
2.350000000000000e+02	2.094008e+01
2.360000000000000e+02	2.090420e+01
2.370000000000000e+02	2.086837e+01
2.380000000000000e+02	2.083260e+01
2.390000000000000e+02	2.079690e+01
2.400000000000000e+02	2.076125e+01
2.410000000000000e+02	2.072565e+01
2.420000000000000e+02	2.069013e+01
2.430000000000000e+02	2.065466e+01
2.440000000000000e+02	2.061925e+01
2.450000000000000e+02	2.058391e+01
2.460000000000000e+02	2.054863e+01
2.470000000000000e+02	2.051342e+01
2.480000000000000e+02	2.047827e+01
2.490000000000000e+02	2.044318e+01
2.500000000000000e+02	2.040816e+01
2.510000000000000e+02	2.037321e+01
2.520000000000000e+02	2.033833e+01
2.530000000000000e+02	2.030351e+01
2.540000000000000e+02	2.026876e+01
2.550000000000000e+02	2.023408e+01
2.560000000000000e+02	2.019947e+01
2.570000000000000e+02	2.016493e+01
2.580000000000000e+02	2.013046e+01
2.590000000000000e+02	2.009606e+01
2.600000000000000e+02	2.006173e+01
2.610000000000000e+02	2.002747e+01
2.620000000000000e+02	1.999329e+01
2.630000000000000e+02	1.995917e+01
2.640000000000000e+02	1.992513e+01
2.650000000000000e+02	1.989116e+01
2.660000000000000e+02	1.985727e+01
2.670000000000000e+02	1.982345e+01
2.680000000000000e+02	1.978970e+01
2.690000000000000e+02	1.975602e+01
2.700000000000000e+02	1.972243e+01
2.710000000000000e+02	1.968890e+01
2.720000000000000e+02	1.965545e+01
2.730000000000000e+02	1.962208e+01
2.740000000000000e+02	1.958878e+01
2.750000000000000e+02	1.955556e+01
2.760000000000000e+02	1.952241e+01
2.770000000000000e+02	1.948934e+01
2.780000000000000e+02	1.945634e+01
2.790000000000000e+02	1.942342e+01
2.800000000000000e+02	1.939058e+01
2.810000000000000e+02	1.935782e+01
2.820000000000000e+02	1.932513e+01
2.830000000000000e+02	1.929252e+01
2.840000000000000e+02	1.925998e+01
2.850000000000000e+02	1.922753e+01
2.860000000000000e+02	1.919515e+01
2.870000000000000e+02	1.916285e+01
2.880000000000000e+02	1.913062e+01
2.890000000000000e+02	1.909847e+01
2.900000000000000e+02	1.906640e+01
2.910000000000000e+02	1.903441e+01
2.920000000000000e+02	1.900250e+01
2.930000000000000e+02	1.897066e+01
2.940000000000000e+02	1.893890e+01
2.950000000000000e+02	1.890723e+01
2.960000000000000e+02	1.887562e+01
2.970000000000000e+02	1.884410e+01
2.980000000000000e+02	1.881266e+01
2.990000000000000e+02	1.878129e+01
3.000000000000000e+02	1.875000e+01
3.010000000000000e+02	1.871879e+01
3.020000000000000e+02	1.868766e+01
3.030000000000000e+02	1.865660e+01
3.040000000000000e+02	1.862563e+01
3.050000000000000e+02	1.859473e+01
3.060000000000000e+02	1.856391e+01
3.070000000000000e+02	1.853316e+01
3.080000000000000e+02	1.850250e+01
3.090000000000000e+02	1.847191e+01
3.100000000000000e+02	1.844140e+01
3.110000000000000e+02	1.841097e+01
3.120000000000000e+02	1.838062e+01
3.130000000000000e+02	1.835035e+01
3.140000000000000e+02	1.832015e+01
3.150000000000000e+02	1.829003e+01
3.160000000000000e+02	1.825999e+01
3.170000000000000e+02	1.823002e+01
3.180000000000000e+02	1.820013e+01
3.190000000000000e+02	1.817032e+01
3.200000000000000e+02	1.814059e+01
3.210000000000000e+02	1.811093e+01
3.220000000000000e+02	1.808135e+01
3.230000000000000e+02	1.805185e+01
3.240000000000000e+02	1.802243e+01
3.250000000000000e+02	1.799308e+01
3.260000000000000e+02	1.796381e+01
3.270000000000000e+02	1.793461e+01
3.280000000000000e+02	1.790549e+01
3.290000000000000e+02	1.787645e+01
3.300000000000000e+02	1.784749e+01
3.310000000000000e+02	1.781859e+01
3.320000000000000e+02	1.778978e+01
3.330000000000000e+02	1.776104e+01
3.340000000000000e+02	1.773238e+01
3.350000000000000e+02	1.770379e+01
3.360000000000000e+02	1.767528e+01
3.370000000000000e+02	1.764684e+01
3.380000000000000e+02	1.761848e+01
3.390000000000000e+02	1.759019e+01
3.400000000000000e+02	1.756198e+01
3.410000000000000e+02	1.753385e+01
3.420000000000000e+02	1.750578e+01
3.430000000000000e+02	1.747780e+01
3.440000000000000e+02	1.744988e+01
3.450000000000000e+02	1.742204e+01
3.460000000000000e+02	1.739428e+01
3.470000000000000e+02	1.736658e+01
3.480000000000000e+02	1.733897e+01
3.490000000000000e+02	1.731142e+01
3.500000000000000e+02	1.728395e+01
3.510000000000000e+02	1.725655e+01
3.520000000000000e+02	1.722923e+01
3.530000000000000e+02	1.720197e+01
3.540000000000000e+02	1.717480e+01
3.550000000000000e+02	1.714769e+01
3.560000000000000e+02	1.712065e+01
3.570000000000000e+02	1.709369e+01
3.580000000000000e+02	1.706680e+01
3.590000000000000e+02	1.703998e+01
3.600000000000000e+02	1.701323e+01
3.610000000000000e+02	1.698656e+01
3.620000000000000e+02	1.695995e+01
3.630000000000000e+02	1.693342e+01
3.640000000000000e+02	1.690696e+01
3.650000000000000e+02	1.688056e+01
3.660000000000000e+02	1.685424e+01
3.670000000000000e+02	1.682799e+01
3.680000000000000e+02	1.680181e+01
3.690000000000000e+02	1.677570e+01
3.700000000000000e+02	1.674966e+01
3.710000000000000e+02	1.672369e+01
3.720000000000000e+02	1.669779e+01
3.730000000000000e+02	1.667196e+01
3.740000000000000e+02	1.664619e+01
3.750000000000000e+02	1.662050e+01
3.760000000000000e+02	1.659487e+01
3.770000000000000e+02	1.656932e+01
3.780000000000000e+02	1.654383e+01
3.790000000000000e+02	1.651841e+01
3.800000000000000e+02	1.649305e+01
3.810000000000000e+02	1.646777e+01
3.820000000000000e+02	1.644255e+01
3.830000000000000e+02	1.641741e+01
3.840000000000000e+02	1.639232e+01
3.850000000000000e+02	1.636731e+01
3.860000000000000e+02	1.634236e+01
3.870000000000000e+02	1.631748e+01
3.880000000000000e+02	1.629266e+01
3.890000000000000e+02	1.626791e+01
3.900000000000000e+02	1.624323e+01
3.910000000000000e+02	1.621861e+01
3.920000000000000e+02	1.619406e+01
3.930000000000000e+02	1.616958e+01
3.940000000000000e+02	1.614516e+01
3.950000000000000e+02	1.612080e+01
3.960000000000000e+02	1.609651e+01
3.970000000000000e+02	1.607229e+01
3.980000000000000e+02	1.604813e+01
3.990000000000000e+02	1.602403e+01
4.000000000000000e+02	1.600000e+01
4.010000000000000e+02	1.597603e+01
4.020000000000000e+02	1.595213e+01
4.030000000000000e+02	1.592829e+01
4.040000000000000e+02	1.590451e+01
4.050000000000000e+02	1.588080e+01
4.060000000000000e+02	1.585714e+01
4.070000000000000e+02	1.583356e+01
4.080000000000000e+02	1.581003e+01
4.090000000000000e+02	1.578657e+01
4.100000000000000e+02	1.576317e+01
4.110000000000000e+02	1.573983e+01
4.120000000000000e+02	1.571655e+01
4.130000000000000e+02	1.569334e+01
4.140000000000000e+02	1.567018e+01
4.150000000000000e+02	1.564709e+01
4.160000000000000e+02	1.562406e+01
4.170000000000000e+02	1.560109e+01
4.180000000000000e+02	1.557818e+01
4.190000000000000e+02	1.555533e+01
4.200000000000000e+02	1.553255e+01
4.210000000000000e+02	1.550982e+01
4.220000000000000e+02	1.548715e+01
4.230000000000000e+02	1.546454e+01
4.240000000000000e+02	1.544199e+01
4.250000000000000e+02	1.541950e+01
4.260000000000000e+02	1.539707e+01
4.270000000000000e+02	1.537470e+01
4.280000000000000e+02	1.535239e+01
4.290000000000000e+02	1.533013e+01
4.300000000000000e+02	1.530794e+01
4.310000000000000e+02	1.528580e+01
4.320000000000000e+02	1.526372e+01
4.330000000000000e+02	1.524170e+01
4.340000000000000e+02	1.521974e+01
4.350000000000000e+02	1.519783e+01
4.360000000000000e+02	1.517599e+01
4.370000000000000e+02	1.515420e+01
4.380000000000000e+02	1.513246e+01
4.390000000000000e+02	1.511078e+01
4.400000000000000e+02	1.508916e+01
4.410000000000000e+02	1.506760e+01
4.420000000000000e+02	1.504609e+01
4.430000000000000e+02	1.502464e+01
4.440000000000000e+02	1.500324e+01
4.450000000000000e+02	1.498190e+01
4.460000000000000e+02	1.496062e+01
4.470000000000000e+02	1.493939e+01
4.480000000000000e+02	1.491822e+01
4.490000000000000e+02	1.489710e+01
4.500000000000000e+02	1.487603e+01
4.510000000000000e+02	1.485502e+01
4.520000000000000e+02	1.483407e+01
4.530000000000000e+02	1.481317e+01
4.540000000000000e+02	1.479232e+01
4.550000000000000e+02	1.477153e+01
4.560000000000000e+02	1.475079e+01
4.570000000000000e+02	1.473010e+01
4.580000000000000e+02	1.470947e+01
4.590000000000000e+02	1.468889e+01
4.600000000000000e+02	1.466837e+01
4.610000000000000e+02	1.464789e+01
4.620000000000000e+02	1.462747e+01
4.630000000000000e+02	1.460711e+01
4.640000000000000e+02	1.458679e+01
4.650000000000000e+02	1.456653e+01
4.660000000000000e+02	1.454632e+01
4.670000000000000e+02	1.452616e+01
4.680000000000000e+02	1.450605e+01
4.690000000000000e+02	1.448599e+01
4.700000000000000e+02	1.446599e+01
4.710000000000000e+02	1.444604e+01
4.720000000000000e+02	1.442613e+01
4.730000000000000e+02	1.440628e+01
4.740000000000000e+02	1.438648e+01
4.750000000000000e+02	1.436673e+01
4.760000000000000e+02	1.434703e+01
4.770000000000000e+02	1.432738e+01
4.780000000000000e+02	1.430778e+01
4.790000000000000e+02	1.428823e+01
4.800000000000000e+02	1.426873e+01
4.810000000000000e+02	1.424928e+01
4.820000000000000e+02	1.422988e+01
4.830000000000000e+02	1.421052e+01
4.840000000000000e+02	1.419122e+01
4.850000000000000e+02	1.417196e+01
4.860000000000000e+02	1.415276e+01
4.870000000000000e+02	1.413360e+01
4.880000000000000e+02	1.411449e+01
4.890000000000000e+02	1.409543e+01
4.900000000000000e+02	1.407642e+01
4.910000000000000e+02	1.405745e+01
4.920000000000000e+02	1.403853e+01
4.930000000000000e+02	1.401966e+01
4.940000000000000e+02	1.400084e+01
4.950000000000000e+02	1.398206e+01
4.960000000000000e+02	1.396334e+01
4.970000000000000e+02	1.394465e+01
4.980000000000000e+02	1.392602e+01
4.990000000000000e+02	1.390743e+01
5.000000000000000e+02	1.388889e+01
